year,competition_type,problem_number,question_html,solution_html,answer
1999,AMC 8,1,"<p><img alt=""$(6?3) + 4 - (2 - 1) = 5$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/2/5/2/252958ffc9b55f5247a7e0a9982ab5cf34445dde.png"" style=""vertical-align: -4px"" width=""181""/> To make this statement true, the question mark between the 6 and the 3 should be replaced by
</p><p><img alt=""$\text{(A)} \div \qquad \text{(B)}\ \times \qquad \text{(C)} + \qquad \text{(D)}\ - \qquad \text{(E)}\ \text{None of these}$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/d/a/a/daaff1cb21baca2a0446a8656c83af4853887206.png"" style=""vertical-align: -4px"" width=""461""/>
</p>","
<p>Simplifying the given expression, we get: <img alt=""$(6?3)=2.$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/b/6/2/b62a0f0c92e0a48e1e93887327e687ba5e0ddbe2.png"" style=""vertical-align: -4px"" width=""77""/>
</p><p>At this point, it becomes clear that it should be <img alt=""$(\textrm{A})$"" class=""latex"" height=""20"" src=""//latex.artofproblemsolving.com/9/6/c/96c5b122c61ae132d7a6fe983d31d2b90641f6df.png"" style=""vertical-align: -5px"" width=""28""/> <img alt=""$\div$"" class=""latex"" height=""10"" src=""//latex.artofproblemsolving.com/1/c/8/1c81486a525ba08192aab8546dbe9a32bdbe0c07.png"" style=""vertical-align: 0px"" width=""13""/>.
</p>
",A
1999,AMC 8,2,"<p>What is the degree measure of the smaller angle formed by the hands of a clock at 10 o clock?
</p><p><img alt='[asy] draw(circle((0,0),2)); dot((0,0)); for(int i = 0; i &lt; 12; ++i) { dot(2*dir(30*i)); }  label(""$3$"",2*dir(0),W); label(""$2$"",2*dir(30),WSW); label(""$1$"",2*dir(60),SSW); label(""$12$"",2*dir(90),S); label(""$11$"",2*dir(120),SSE); label(""$10$"",2*dir(150),ESE); label(""$9$"",2*dir(180),E); label(""$8$"",2*dir(210),ENE); label(""$7$"",2*dir(240),NNE); label(""$6$"",2*dir(270),N); label(""$5$"",2*dir(300),NNW); label(""$4$"",2*dir(330),WNW); [/asy]' class=""latexcenter"" height=""252"" src=""//latex.artofproblemsolving.com/4/5/0/4500534f275d08449e027ed4322baa4c284ea69e.png"" width=""252""/>
</p><p><img alt=""$\text{(A)}\ 30 \qquad \text{(B)}\ 45 \qquad \text{(C)}\ 60 \qquad \text{(D)}\ 75 \qquad \text{(E)}\ 90$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/2/b/0/2b063bb89fec320f0199bb9823b256350211193a.png"" style=""vertical-align: -4px"" width=""375""/>
</p>","
<p>At <img alt=""$10:00$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/1/6/f/16f47b8281adebaee3df2478a9229035d042e7ea.png"" style=""vertical-align: 0px"" width=""51""/>, the hour hand will be on the <img alt=""$10$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/f/c/6/fc606f7f1e530731ab4f1cc364c01dc64a4455ee.png"" style=""vertical-align: 0px"" width=""17""/> while the minute hand on the <img alt=""$12$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/e/d/f/edf074831eb5bc9e61d6d6e09f525a86e3068f6a.png"" style=""vertical-align: 0px"" width=""17""/>.
</p><p>This makes them <img alt=""$\frac{1}{6}$"" class=""latex"" height=""37"" src=""//latex.artofproblemsolving.com/4/3/b/43ba19be0e30b99142416ebfbe17670437c8453e.png"" style=""vertical-align: -12px"" width=""11""/>th of a circle apart, and <img alt=""$\frac{1}{6}\cdot360^{\circ}=\boxed{\textbf{(C) } 60}$"" class=""latex"" height=""38"" src=""//latex.artofproblemsolving.com/0/e/a/0ea158e1a28ebce9036015a69a21032af641a1f3.png"" style=""vertical-align: -13px"" width=""152""/>.
</p>
",C
1999,AMC 8,3,"<p>Which triplet of numbers has a sum NOT equal to 1?
</p><p><img alt=""$\text{(A)}\ (1/2,1/3,1/6) \qquad \text{(B)}\ (2,-2,1) \qquad \text{(C)}\ (0.1,0.3,0.6) \qquad \text{(D)}\ (1.1,-2.1,1.0) \qquad \text{(E)}\ (-3/2,-5/2,5)$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/3/c/0/3c09ddfe9d8b9dfbfee744671951ef7621355b6a.png"" style=""vertical-align: -4px"" width=""804""/>
</p>","
<p>By adding each triplet, we can see that <img alt=""$\boxed{(D)}$"" class=""latex"" height=""29"" src=""//latex.artofproblemsolving.com/8/d/e/8de641a309fc5878c26baf699f2382b7d4b02b5e.png"" style=""vertical-align: -10px"" width=""41""/> gives us <img alt=""$0$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/b/c/1/bc1f9d9bf8a1b606a4188b5ce9a2af1809e27a89.png"" width=""8""/>, not <img alt=""$1$"" class=""latex"" height=""14"" src=""//latex.artofproblemsolving.com/d/c/e/dce34f4dfb2406144304ad0d6106c5382ddd1446.png"" style=""vertical-align: -1px"" width=""11""/>, as our sum.
</p>
",D
1999,AMC 8,4,"<p>The diagram shows the miles traveled by bikers Alberto and Bjorn. After four hours, about how many more miles has Alberto biked than Bjorn?
</p><p><img alt='[asy] for (int a = 0; a &lt; 6; ++a) { for (int b = 0; b &lt; 6; ++b) { dot((4*a,3*b)); } } draw((0,0)--(20,0)--(20,15)--(0,15)--cycle); draw((0,0)--(16,12)); draw((0,0)--(16,9));  label(rotate(30)*""Bjorn"",(12,6.75),SE); label(rotate(37)*""Alberto"",(11,8.25),NW);  label(""$0$"",(0,0),S); label(""$1$"",(4,0),S); label(""$2$"",(8,0),S); label(""$3$"",(12,0),S); label(""$4$"",(16,0),S); label(""$5$"",(20,0),S); label(""$0$"",(0,0),W); label(""$15$"",(0,3),W); label(""$30$"",(0,6),W); label(""$45$"",(0,9),W); label(""$60$"",(0,12),W); label(""$75$"",(0,15),W);  label(""H"",(6,-2),S); label(""O"",(8,-2),S); label(""U"",(10,-2),S); label(""R"",(12,-2),S); label(""S"",(14,-2),S);  label(""M"",(-4,11),N); label(""I"",(-4,9),N); label(""L"",(-4,7),N); label(""E"",(-4,5),N); label(""S"",(-4,3),N); [/asy]' class=""latexcenter"" height=""195"" src=""//latex.artofproblemsolving.com/0/7/b/07bfc35302b906872d0fbe29df5e4d23b2a658d9.png"" width=""252""/>
</p><p><img alt=""$\text{(A)}\ 15 \qquad \text{(B)}\ 20 \qquad \text{(C)}\ 25 \qquad \text{(D)}\ 30 \qquad \text{(E)}\ 35$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/7/3/a/73a444950c366de9f08f0b79a44a50c9908c7f34.png"" style=""vertical-align: -4px"" width=""375""/>
</p>","
<p>After 4 hours, we see that Bjorn biked 45 miles, and Alberto biked 60.  Thus the answer is <img alt=""$60-45=15$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/b/e/f/beff3ff1029f4a8e5beb9e5c8e8eb5e6b85501b7.png"" style=""vertical-align: 0px"" width=""100""/> <img alt=""$\boxed{\text{(A)}}$"" class=""latex"" height=""28"" src=""//latex.artofproblemsolving.com/0/c/1/0c1c9d1b1e9b85d185f077bab73eb0531dd6f2e8.png"" style=""vertical-align: -10px"" width=""37""/>.
</p>
",A
1999,AMC 8,5,"<p>A rectangular garden 60 feet long and 20 feet wide is enclosed by a fence. To make the garden larger, while using the same fence, its shape is changed to a square. By how many square feet does this enlarge the garden?
</p><p><img alt=""$\text{(A)}\ 100 \qquad \text{(B)}\ 200 \qquad \text{(C)}\ 300 \qquad \text{(D)}\ 400 \qquad \text{(E)}\ 500$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/6/e/1/6e1e21795a63b2fb996f16e401ade587e656f848.png"" style=""vertical-align: -4px"" width=""421""/>
</p>","
<p>We need the same perimeter as a <img alt=""$60$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/3/0/2/302e99c1c7cd91a6ae371139e5142ccef5977dca.png"" width=""17""/> by <img alt=""$20$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/f/8/3/f8366cd6196dd8a9da6d38a3e9eafb109e99d53e.png"" width=""17""/> rectangle, but the greatest area we can get. right now the perimeter is <img alt=""$160$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/b/9/2/b921eebe6fcb6019117772839fa2aa142827e703.png"" style=""vertical-align: 0px"" width=""26""/>. To get the greatest area while keeping a perimeter of <img alt=""$160$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/b/9/2/b921eebe6fcb6019117772839fa2aa142827e703.png"" style=""vertical-align: 0px"" width=""26""/>, the sides should all be <img alt=""$40$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/7/8/7/78792fe4680a164f537ea72a4f900e4471433c3b.png"" style=""vertical-align: 0px"" width=""17""/>. that means an area of <img alt=""$1600$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/6/c/c/6cc314f9ecb9c2b3c96a327f5191f1d5b13d8e93.png"" style=""vertical-align: 0px"" width=""35""/>. Right now, the area is <img alt=""$20 \times 60$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/6/e/e/6eeed1fb9399450cfcd051673ecb35215809ddf3.png"" width=""58""/> which is <img alt=""$1200$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/6/e/0/6e0588c55c2d51f1677c8bd4a06da1d49197ce4b.png"" style=""vertical-align: 0px"" width=""35""/>. <img alt=""$1600-1200=400$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/b/c/7/bc72fa5271089d90ac2b8163c431ee85480aac35.png"" style=""vertical-align: 0px"" width=""145""/> which is <img alt=""$\boxed{D}$"" class=""latex"" height=""24"" src=""//latex.artofproblemsolving.com/5/5/b/55bdade53f471aab49f63d1a734979cc0c636640.png"" style=""vertical-align: -5px"" width=""27""/>.
</p>
",D
1999,AMC 8,6,"<p>Bo, Coe, Flo, Joe, and Moe have different amounts of money. Neither Joe nor Bo has as much money as Flo. Both Bo and Coe have more than Moe. Joe has more than Moe, but less than Bo. Who has the least amount of money?
</p><p><img alt=""$\text{(A)}\ \text{Bo} \qquad \text{(B)}\ \text{Coe} \qquad \text{(C)}\ \text{Flo} \qquad \text{(D)}\ \text{Joe} \qquad \text{(E)}\ \text{Moe}$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/0/b/c/0bc034b5718d4563cbac031cad11a9d5daff820d.png"" style=""vertical-align: -4px"" width=""413""/>
</p>","
<p>Use logic to solve this problem. You don't actually need to use any equations.
</p><p>Neither Jo nor Bo has as much money as Flo. So Flo clearly does not have the least amount of money. Rule out Flo.
</p><p>Both Bo and Coe have more than Moe. Rule out Bo and Coe; they clearly do not have the least amount of money.
</p><p>Jo has more than Moe. Rule out Jo. 
</p><p>The only person who has not been ruled out is Moe. So <img alt=""$\boxed{\text{(E)}}$"" class=""latex"" height=""28"" src=""//latex.artofproblemsolving.com/e/6/c/e6c182d936b9ff33cadf7f6e3391eeddf9248a89.png"" style=""vertical-align: -10px"" width=""36""/> is the answer.
</p>
",E
1999,AMC 8,7,"<p>The third exit on a highway is located at milepost 40 and the tenth exit is at milepost 160. There is a service center on the highway located three-fourths of the way from the third exit to the tenth exit. At what milepost would you expect to find this service center?
</p><p><img alt=""$\text{(A)}\ 90 \qquad \text{(B)}\ 100 \qquad \text{(C)}\ 110 \qquad \text{(D)}\ 120 \qquad \text{(E)}\ 130$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/9/4/b/94b93ed44ff8e014b616636c40c00def249afe02.png"" style=""vertical-align: -4px"" width=""412""/>
</p>","
<p>There are <img alt=""$160-40=120$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/7/5/f/75f1e8694f5982aa9806005782828d1cb8e83eb7.png"" style=""vertical-align: 0px"" width=""118""/> miles between the third and tenth exits, so the service center is at milepost <img alt=""$40+(3/4)(120) = 40+90=\boxed{\text{(E)}\ 130}$"" class=""latex"" height=""30"" src=""//latex.artofproblemsolving.com/a/4/9/a4923509155b7291ef9dae6370bcf23b51bfe689.png"" style=""vertical-align: -11px"" width=""300""/>.
</p>
",E
1999,AMC 8,8,"<p>Six squares are colored, front and back, (R = red, B = blue, O = orange, Y = yellow, G = green, and W = white). They are hinged together as shown, then folded to form a cube. The face opposite the white face is
</p><p><img alt='[asy] draw((0,2)--(1,2)--(1,1)--(2,1)--(2,0)--(3,0)--(3,1)--(4,1)--(4,2)--(2,2)--(2,3)--(0,3)--cycle); draw((1,3)--(1,2)--(2,2)--(2,1)--(3,1)--(3,2)); label(""R"",(.5,2.3),N); label(""B"",(1.5,2.3),N); label(""G"",(1.5,1.3),N); label(""Y"",(2.5,1.3),N); label(""W"",(2.5,.3),N); label(""O"",(3.5,1.3),N); [/asy]' class=""latexcenter"" height=""188"" src=""//latex.artofproblemsolving.com/7/9/c/79c831b7f1e842c1127b2c37447a942e1ffff08b.png"" width=""252""/>
</p><p><img alt=""$\text{(A)}\ \text{B} \qquad \text{(B)}\ \text{G} \qquad \text{(C)}\ \text{O} \qquad \text{(D)}\ \text{R} \qquad \text{(E)}\ \text{Y}$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/6/d/f/6dfffde75f0626bb75eaa08bd7287e1514eded79.png"" style=""vertical-align: -4px"" width=""347""/>
</p>","
<p>When G is arranged to be the base, B is the back face and W is
the front face. Thus, <img alt=""$\boxed{\text{(A)}\ B}$"" class=""latex"" height=""28"" src=""//latex.artofproblemsolving.com/1/8/e/18e037a55a9bb66e8f580ca71685d97f0e604af0.png"" style=""vertical-align: -10px"" width=""57""/> is opposite W.
</p>
",A
1999,AMC 8,9,"<p>Three flower beds overlap as shown. Bed A has 500 plants, bed B has 450 plants, and bed C has 350 plants. Beds A and B share 50 plants, while beds A and C share 100. The total number of plants is
</p><p><img alt='[asy] draw((0,0)--(3,0)--(3,1)--(0,1)--cycle); draw(circle((.3,-.1),.7)); draw(circle((2.8,-.2),.8)); label(""A"",(1.3,.5),N); label(""B"",(3.1,-.2),S); label(""C"",(.6,-.2),S); [/asy]' class=""latexcenter"" height=""128"" src=""//latex.artofproblemsolving.com/e/c/e/ece582021fe59973b5c82e6a43d3522518c4c99c.png"" width=""252""/>
</p><p><img alt=""$\text{(A)}\ 850 \qquad \text{(B)}\ 1000 \qquad \text{(C)}\ 1150 \qquad \text{(D)}\ 1300 \qquad \text{(E)}\ 1450$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/8/1/f/81f20d31dff9c3b9dff55804604328b8503d9a75.png"" style=""vertical-align: -4px"" width=""457""/>
</p>","
<p>Plants shared by two beds have been counted
twice, so the total is <img alt=""$500 + 450 + 350 - 50 - 100 = \boxed{\text{(C)}\ 1150}$"" class=""latex"" height=""28"" src=""//latex.artofproblemsolving.com/9/7/c/97c60d2450fedbcac0bffc33dd5332880d46c7b2.png"" style=""vertical-align: -10px"" width=""319""/>.
</p>
",C
1999,AMC 8,10,"<p>A complete cycle of a traffic light takes 60 seconds. During each cycle the light is green for 25 seconds, yellow for 5 seconds, and red for 30 seconds. At a randomly chosen time, what is the probability that the light will NOT be green?
</p><p><img alt=""$\text{(A)}\ \frac{1}{4} \qquad \text{(B)}\ \frac{1}{3} \qquad \text{(C)}\ \frac{5}{12} \qquad \text{(D)}\ \frac{1}{2} \qquad \text{(E)}\ \frac{7}{12}$"" class=""latex"" height=""38"" src=""//latex.artofproblemsolving.com/f/2/a/f2a972f932737a51b982a2613761e1dd6f32a4b6.png"" style=""vertical-align: -13px"" width=""367""/>
</p>","
<p><img alt=""\[\frac{\text{time not green}}{\text{total time}} = \frac{R + Y}{R + Y + G} = \frac{35}{60} = \boxed{\text{(E)}\ \frac{7}{12}}\]"" class=""latexcenter"" height=""48"" src=""//latex.artofproblemsolving.com/c/d/9/cd9d03f32bfb35e21abb172a8727c5ecfb98f865.png"" width=""358""/>
</p>
",E
