year,competition_type,problem_number,question_html,solution_html,answer
1999,AMC 8,21,"<p>The degree measure of angle <img alt=""$A$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" width=""13""> is
</p><p><img alt=""[asy] unitsize(12); draw((0,0)--(20,0)--(1,-10)--(9,5)--(18,-8)--cycle); draw(arc((1,-10),(1+19/sqrt(461),-10+10/sqrt(461)),(25/17,-155/17),CCW)); draw(arc((19/3,0),(19/3-8/17,-15/17),(22/3,0),CCW)); draw(arc((900/83,-400/83),(900/83+19/sqrt(461),-400/83+10/sqrt(461)),(900/83 - 9/sqrt(97),-400/83 + 4/sqrt(97)),CCW)); label(rotate(30)*&quot;$40^\circ$&quot;,(2,-8.9),ENE); label(&quot;$100^\circ$&quot;,(21/3,-2/3),SE); label(&quot;$110^\circ$&quot;,(900/83,-317/83),NNW); label(&quot;$A$&quot;,(0,0),NW); [/asy]"" class=""latexcenter"" height=""302"" src=""//latex.artofproblemsolving.com/c/c/3/cc3d87ddc15f303c48dcb5e245523d226f95fbe3.png"" width=""425"">
</p><p><img alt=""$\text{(A)}\ 20 \qquad \text{(B)}\ 30 \qquad \text{(C)}\ 35 \qquad \text{(D)}\ 40 \qquad \text{(E)}\ 45$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/c/7/2/c7267e08cdeeb4b2ab3f7ac0e6197d645e14a8d8.png"" style=""vertical-align: -4px"" width=""375"">
</p>","<p>Angle-chasing using the small triangles:
</p><p>Use the line below and to the left of the <img alt=""$110^\circ$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/e/f/3/ef3e8d51e7dfd1c3badcecdf2a277836c2ab649a.png"" style=""vertical-align: 0px"" width=""33""> angle to find that the rightmost angle in the small lower-left triangle is <img alt=""$180 - 110 = 70^\circ$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/e/1/9/e1972afe5272870f8d04664ccf415da947cd7434.png"" style=""vertical-align: 0px"" width=""125"">.
</p><p>Then use the small lower-left triangle to find that the remaining angle in that triangle is <img alt=""$180 - 70 - 40 = 70^\circ$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/4/f/9/4f99c88e20cfcb8e09f1b4e93ecf29a42432c7d5.png"" style=""vertical-align: 0px"" width=""156"">.
</p><p>Use congruent vertical angles to find that the lower angle in the smallest triangle containing <img alt=""$A$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" width=""13""> is also <img alt=""$70^\circ$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/3/1/a/31adfcb608f857dff15cc5fa7ea0c327e8dc65ba.png"" width=""24"">.  
</p><p>Next, use line segment <img alt=""$AB$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/5/7/e/57ee5125358c0606c9b588580ddfa66f83e607b7.png"" width=""27""> to find that the other angle in the smallest triangle containing <img alt=""$A$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" width=""13""> is  <img alt=""$180 - 100 = 80^\circ$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/9/2/c/92cf7a626a3bc88dbcea2cc286baee0d1cc76487.png"" style=""vertical-align: 0px"" width=""125"">.
</p><p>The small triangle containing <img alt=""$A$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" width=""13""> has a <img alt=""$70^\circ$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/3/1/a/31adfcb608f857dff15cc5fa7ea0c327e8dc65ba.png"" width=""24""> angle and an <img alt=""$80^\circ$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/d/e/c/dec5a68a3382ed121445e64488834a165dbe0bd1.png"" width=""24""> angle.  The remaining angle must be <img alt=""$180 - 70 - 80 = \boxed{30^\circ, B}$"" class=""latex"" height=""28"" src=""//latex.artofproblemsolving.com/2/2/f/22fc3b48f483efb7538398862be3b6d260fde3ce.png"" style=""vertical-align: -9px"" width=""192"">
</p>",B
2000,AMC 8,19,"<p>Three circular arcs of radius 5 units bound the region shown. Arcs <img alt=""$AB$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/5/7/e/57ee5125358c0606c9b588580ddfa66f83e607b7.png"" width=""27""> and <img alt=""$AD$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/b/c/5/bc56862b1fdb71204894da278e42ef75de73a40b.png"" width=""28""> are quarter-circles, and arc <img alt=""$BCD$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/d/7/a/d7ada763e99852a6e44a15d46cce3c3709a944d5.png"" width=""44""> is a semicircle. What is the area, in square units, of the region?
</p><p><img alt=""[asy] pair A,B,C,D; A = (0,0); B = (-5,5); C = (0,10); D = (5,5);  draw(arc((-5,0),A,B,CCW)); draw(arc((0,5),B,D,CW)); draw(arc((5,0),D,A,CCW));  label(&quot;$A$&quot;,A,S); label(&quot;$B$&quot;,B,W); label(&quot;$C$&quot;,C,N); label(&quot;$D$&quot;,D,E); [/asy]"" class=""latexcenter"" height=""245"" src=""//latex.artofproblemsolving.com/f/6/8/f68d2f850792d1c86d124affe62be3679ead3139.png"" width=""252"">
</p><p><img alt=""$\text{(A)}\ 25 \qquad \text{(B)}\ 10 + 5\pi \qquad \text{(C)}\ 50 \qquad \text{(D)}\ 50 + 5\pi \qquad \text{(E)}\ 25\pi$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/5/5/4/554d1a7149cd4f317adf3ecfa7dcf33f93256e68.png"" style=""vertical-align: -4px"" width=""471"">
</p>","<p>Draw two squares:  one that has opposing corners at <img alt=""$A$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" width=""13""> and <img alt=""$B$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/f/f/5/ff5fb3d775862e2123b007eb4373ff6cc1a34d4e.png"" width=""14"">, and one that has opposing corners at <img alt=""$A$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" width=""13""> and <img alt=""$D$"" class=""latex"" height=""14"" src=""//latex.artofproblemsolving.com/9/f/f/9ffb448918db29f2a72f8f87f421b3b3cad18f95.png"" style=""vertical-align: -1px"" width=""17"">.  These squares share side <img alt=""$\overline{AO}$"" class=""latex"" height=""15"" src=""//latex.artofproblemsolving.com/c/5/1/c51eee107f2b552caca08ea4f3cd1078a32b22ef.png"" width=""28"">, where <img alt=""$O$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/5/1/d/51da37d984564162c87710ca27bea422f657fb73.png"" width=""13""> is the center of the large semicircle.  
</p><p>These two squares have a total area of <img alt=""$2 \cdot 5^2$"" class=""latex"" height=""15"" src=""//latex.artofproblemsolving.com/e/5/b/e5b2b66713ca158f9b1cd72025abe2f5f57fe961.png"" width=""37"">, but have two quarter circle ""bites"" of radius <img alt=""$5$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/7/9/0/79069377f91364c2f87a64e5f9f562a091c8a6c1.png"" width=""8""> that must be removed.  Thus, the bottom part of the figure has area 
</p><p><img alt=""$2\cdot 25 - 2 \cdot \frac{1}{4}\pi \cdot 5^2$"" class=""latex"" height=""37"" src=""//latex.artofproblemsolving.com/d/0/8/d08f55ce19da25264f2e94e5d565f42fae101324.png"" style=""vertical-align: -13px"" width=""137"">
</p><p><img alt=""$50 - \frac{25\pi}{2}$"" class=""latex"" height=""37"" src=""//latex.artofproblemsolving.com/c/a/e/caef0d1066b407f2863884e8277a5b3e5cb0cba5.png"" style=""vertical-align: -12px"" width=""72"">
</p><p>This is the area of the part of the figure underneath <img alt=""$\overline{BD}$"" class=""latex"" height=""15"" src=""//latex.artofproblemsolving.com/4/3/7/4373e7b4be983c0315e82e1fda1df66ed34dd7fb.png"" width=""30"">.  The part of the figure over <img alt=""$\overline{BD}$"" class=""latex"" height=""15"" src=""//latex.artofproblemsolving.com/4/3/7/4373e7b4be983c0315e82e1fda1df66ed34dd7fb.png"" width=""30""> is just a semicircle with radius <img alt=""$5$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/7/9/0/79069377f91364c2f87a64e5f9f562a091c8a6c1.png"" width=""8"">, which has area of <img alt=""$\frac{1}{2}\pi\cdot 5^2 = \frac{25\pi}{2}$"" class=""latex"" height=""37"" src=""//latex.artofproblemsolving.com/3/2/c/32cac5cf6f1feb57df65c902f23e90a55075fc64.png"" style=""vertical-align: -12px"" width=""109"">
</p><p>Adding the two areas gives a total area of <img alt=""$\boxed{(c)50}$"" class=""latex"" height=""32"" src=""//latex.artofproblemsolving.com/3/a/8/3a8d728f9f7b646fa4fd7365cdd572a1ac26aeb3.png"" style=""vertical-align: -11px"" width=""53"">
</p>",C
2002,AMC 8,19,"<p>How many whole numbers between 99 and 999 contain exactly one 0?
</p><p><img alt=""$\text{(A)}\ 72 \qquad \text{(B)}\ 90 \qquad \text{(C)}\ 144 \qquad \text{(D)}\ 162 \qquad \text{(E)}\ 180$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/6/a/3/6a3f5fe294655d9756a0d4445af1baac290779e9.png"" style=""vertical-align: -4px"" width=""402"">
</p>","<p>Numbers with exactly one zero have the form <img alt=""$\overline{a0b}$"" class=""latex"" height=""16"" src=""//latex.artofproblemsolving.com/f/2/9/f29651e23a0f4487f9d90db32c8680c0f4ba80cd.png"" width=""27""> or <img alt=""$\overline{ab0}$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/a/6/4/a64a5d6f096ebcbd429be097cb62f0a7e64755f6.png"" style=""vertical-align: -1px"" width=""28"">, where the <img alt=""$a,b \neq 0$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/f/4/f/f4fde2e855d4ba3c6d6ee7a4dead335bb4f13c65.png"" style=""vertical-align: -4px"" width=""58"">. There are <img alt=""$(9\cdot1\cdot9)+(9\cdot9\cdot1) = 81+81 = \boxed{162}$"" class=""latex"" height=""23"" src=""//latex.artofproblemsolving.com/b/9/5/b95d3715eacae35af644cb3b0f8ef32eeca3d4d1.png"" style=""vertical-align: -5px"" width=""303""> such numbers, hence our answer is <img alt=""$\fbox{D}$"" class=""latex"" height=""23"" src=""//latex.artofproblemsolving.com/2/5/8/25809e4f87f20a2ee949878bc603b9eda09422ce.png"" style=""vertical-align: -5px"" width=""24"">.
</p>",D
2003,AMC 8,1,"<p>Jamie counted the number of edges of a cube, Jimmy counted the numbers of corners, and Judy counted the number of faces. They then added the three numbers. What was the resulting sum?
</p><p><img alt=""$\mathrm{(A)}\ 12 \qquad\mathrm{(B)}\ 16 \qquad\mathrm{(C)}\ 20 \qquad\mathrm{(D)}\ 22 \qquad\mathrm{(E)}\ 26$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/7/6/9/76912b8a287e1f0ed379be975343fefe47cd779c.png"" style=""vertical-align: -4px"" width=""387"">
</p>","<p>On a cube, there are <img alt=""$12$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/e/d/f/edf074831eb5bc9e61d6d6e09f525a86e3068f6a.png"" style=""vertical-align: 0px"" width=""17""> edges, <img alt=""$8$"" class=""latex"" height=""14"" src=""//latex.artofproblemsolving.com/8/4/5/8455f3b5cb3b4880b8c9d782a5c1f0334db819eb.png"" style=""vertical-align: -1px"" width=""11""> corners, and <img alt=""$6$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/6/0/1/601a7806cbfad68196c43a4665871f8c3186802e.png"" width=""8""> faces. Adding them up gets <img alt=""$12+8+6= \boxed{\mathrm{(E)}\ 26}$"" class=""latex"" height=""29"" src=""//latex.artofproblemsolving.com/0/b/7/0b7ff2196be6607398ddde64d71e1bb2f2c68ac2.png"" style=""vertical-align: -10px"" width=""167"">.
</p>",E
2003,AMC 8,2,"<p>Which of the following numbers has the smallest prime factor?
</p><p><img alt=""$\mathrm{(A)}\ 55 \qquad\mathrm{(B)}\ 57 \qquad\mathrm{(C)}\ 58 \qquad\mathrm{(D)}\ 59 \qquad\mathrm{(E)}\ 61$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/0/1/d/01d4a089a11d73fb0c0707f3a5d8e843ccc2ae58.png"" style=""vertical-align: -4px"" width=""387"">
</p>","<p>The smallest prime factor is <img alt=""$2$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/4/1/c/41c544263a265ff15498ee45f7392c5f86c6d151.png"" width=""8"">, and since <img alt=""$58$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/b/7/8/b784ad3135944214ca7ecade87b8dfa3aa54f1f0.png"" width=""17""> is the only multiple of <img alt=""$2$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/4/1/c/41c544263a265ff15498ee45f7392c5f86c6d151.png"" width=""8"">, the answer is <img alt=""$\boxed{\mathrm{(C)}\ 58}$"" class=""latex"" height=""29"" src=""//latex.artofproblemsolving.com/b/3/d/b3d09bb8ee9a049d971317c3fc4101043fb5c2b6.png"" style=""vertical-align: -10px"" width=""62"">.
</p>",C
2003,AMC 8,3,"<p>A burger at Ricky C's weighs 120 grams, of which 30 grams are filler. What percent of the burger is not filler?
</p><p><img alt=""$\mathrm{(A)}\ 60\% \qquad\mathrm{(B)}\ 65\% \qquad\mathrm{(C)}\ 70\% \qquad\mathrm{(D)}\ 75\% \qquad\mathrm{(E)}\ 90\%$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/7/7/7/777039161bab148bdef5e761a43a156ad215ac74.png"" style=""vertical-align: -4px"" width=""463"">
</p>","<p>There are <img alt=""$30$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/6/5/1/651ba418a810d971dbc8a326d49a71fe1541fae0.png"" width=""17""> grams of filler, so there are <img alt=""$120-30= 90$"" class=""latex"" height=""15"" src=""//latex.artofproblemsolving.com/a/5/7/a576e5df3fb4216be45f4e9624b040fa273a43d2.png"" style=""vertical-align: -2px"" width=""112""> grams that aren't filler. <img alt=""$\frac{90}{120}=\frac{3}{4}=\boxed{\mathrm{(D)}\ 75\%}$"" class=""latex"" height=""38"" src=""//latex.artofproblemsolving.com/2/b/c/2bc02266d8a5b89a9937d2ed32f2887da08c8b3c.png"" style=""vertical-align: -13px"" width=""171"">.
</p>",D
2003,AMC 8,4,"<p>A group of children riding on bicycles and tricycles rode past Billy Bob's house. Billy Bob counted 7 children and 19 wheels. How many tricycles were there?
</p><p><img alt=""$\mathrm{(A)}\ 2 \qquad\mathrm{(B)}\ 4 \qquad\mathrm{(C)}\ 5 \qquad\mathrm{(D)}\ 6 \qquad\mathrm{(E)}\ 7$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/8/c/b/8cb832792165b5869b5f555cffa014c5d1091819.png"" style=""vertical-align: -4px"" width=""342"">
</p>","<p>If all the children were riding bicycles, there would be <img alt=""$2 \times 7=14$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/f/e/1/fe13e3e32145343b1a7838fc6466d87d04348f7d.png"" style=""vertical-align: 0px"" width=""82""> wheels. Each tricycle adds an extra wheel and <img alt=""$19-14=5$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/3/a/5/3a5df9723324a8a35a9e853115a3f48f764ed2f7.png"" style=""vertical-align: 0px"" width=""91""> extra wheels are needed, so there are <img alt=""$\boxed{\mathrm{(C)}\ 5}$"" class=""latex"" height=""29"" src=""//latex.artofproblemsolving.com/4/7/8/478bc8af65d1b320b4fec0fd344399c18be36127.png"" style=""vertical-align: -10px"" width=""53""> tricycles.
</p>",C
2003,AMC 8,6,"<p>Given the areas of the three squares in the figure, what is the area of the interior triangle?
</p><p><img alt=""[asy] draw((0,0)--(-5,12)--(7,17)--(12,5)--(17,5)--(17,0)--(12,0)--(12,-12)--(0,-12)--(0,0)--(12,5)--(12,0)--cycle,linewidth(1)); label(&quot;$25$&quot;,(14.5,1),N); label(&quot;$144$&quot;,(6,-7.5),N); label(&quot;$169$&quot;,(3.5,7),N); [/asy]"" class=""latexcenter"" height=""252"" src=""//latex.artofproblemsolving.com/3/7/2/372ee1f13836b7ad774c0aa23e598d4f8b07cbb6.png"" width=""192"">
</p><p><img alt=""$\mathrm{(A)}\ 13 \qquad\mathrm{(B)}\ 30 \qquad\mathrm{(C)}\ 60 \qquad\mathrm{(D)}\ 300 \qquad\mathrm{(E)}\ 1800$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/0/7/d/07d4a247da685400225d1617e4e1141e5942e408.png"" style=""vertical-align: -4px"" width=""414"">
</p>","<p>The sides of the squares are <img alt=""$5, 12$"" class=""latex"" height=""16"" src=""//latex.artofproblemsolving.com/8/9/f/89f1f44e7b2c1cf015701ebbea88648355b2dc77.png"" style=""vertical-align: -3px"" width=""34""> and <img alt=""$13$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/0/3/0/030e19e4e2f1c074127cb50581e8496470c5419f.png"" style=""vertical-align: 0px"" width=""17""> for the square with area <img alt=""$25, 144$"" class=""latex"" height=""16"" src=""//latex.artofproblemsolving.com/d/c/1/dc1603949fc857565a9843087e27d8f7e28f5eac.png"" style=""vertical-align: -3px"" width=""53""> and <img alt=""$169$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/3/6/2/3629b1f1f3b22f1a3c927c7ac0467574394f17ee.png"" style=""vertical-align: 0px"" width=""26"">, respectively. The legs of the interior triangle are <img alt=""$5$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/7/9/0/79069377f91364c2f87a64e5f9f562a091c8a6c1.png"" width=""8""> and <img alt=""$12$"" class=""latex"" height=""12"" src=""//latex.artofproblemsolving.com/e/d/f/edf074831eb5bc9e61d6d6e09f525a86e3068f6a.png"" style=""vertical-align: 0px"" width=""17"">, so the area is <img alt=""$\frac{5 \times 12}{2}=\boxed{\mathrm{(B)}\ 30}$"" class=""latex"" height=""37"" src=""//latex.artofproblemsolving.com/1/f/a/1faaedc7e9b7c05c3ce5988eeb54d6ab77f8c093.png"" style=""vertical-align: -12px"" width=""140"">
</p><p>(note: the ab/2 area method only works because the converse Pythagorean theorem holds for the triple [5, 12, 13]. Therefore, we can find the solution this way because we know the triangle is right ~megaboy6679)
</p>",B
2003,AMC 8,7,"<p>Blake and Jenny each took four 100-point tests. Blake averaged 78 on the four tests. Jenny scored 10 points higher than Blake on the first test, 10 points lower than him on the second test, and 20 points higher on both the third and fourth tests. What is the difference between Jenny's average and Blake's average on these four tests?
</p><p><img alt=""$\mathrm{(A)}\  10  \qquad\mathrm{(B)}\ 15 \qquad\mathrm{(C)}\ 20 \qquad\mathrm{(D)}\ 25 \qquad\mathrm{(E)}\ 40$"" class=""latex"" height=""18"" src=""//latex.artofproblemsolving.com/7/0/5/7056eb63ac3d7a8d9f08bcf722f5c26b2a1e99bc.png"" style=""vertical-align: -4px"" width=""387"">
</p>","<p>Blake scored a total of <img alt=""$4 \times 78=312$"" class=""latex"" height=""13"" src=""//latex.artofproblemsolving.com/b/c/d/bcddcdab916ea039e67536e739317b051598553e.png"" style=""vertical-align: 0px"" width=""100""> points. Jenny scored <img alt=""$10-10+20+20=40$"" class=""latex"" height=""14"" src=""//latex.artofproblemsolving.com/3/2/3/3231c7b5fe8b631dfd2dcb593548117dd3b5da82.png"" style=""vertical-align: -1px"" width=""181""> points higher than Blake, so her average is <img alt=""$\frac{312+40}{4}=88$"" class=""latex"" height=""38"" src=""//latex.artofproblemsolving.com/5/d/a/5da5d232ca98dd7429b3779c4e8488edb0467e2f.png"" style=""vertical-align: -13px"" width=""113"">. 
the difference is <img alt=""$88-78=\boxed{\mathrm{(A)}\ 10}$"" class=""latex"" height=""29"" src=""//latex.artofproblemsolving.com/4/f/d/4fd9ae9efa995dc45069c025e6e3c6a3f8303f6d.png"" style=""vertical-align: -10px"" width=""146"">.
</p>",A
2004,AMC 8,5,"<p>Ms. Hamilton's eighth-grade class wants to participate in the annual three-person-team basketball tournament. The losing team of each game is eliminated from the tournament. If sixteen teams compete, how many games will be played to determine the winner?
</p><p><img alt=""$\textbf{(A)}\ 4\qquad\textbf{(B)}\ 7\qquad\textbf{(C)}\ 8\qquad\textbf{(D)}\ 15\qquad\textbf{(E)}\ 16$"" class=""latex"" height=""17"" src=""//latex.artofproblemsolving.com/6/7/a/67adc1510590cfcb34f8ae56d0bebb9ab67612d0.png"" style=""vertical-align: -4px"" width=""366"">
</p>","<p>Note that the winning team will the be the only team that wins all of the games. Therefore, to find the total number of games to determine the winner has a 1:1 correspondence to the number of ways to determine the losers. ( Think of it this way: If you want to select two balls from a bag of 6 balls, it is analogous to selecting the 4 balls that you don't want to select, both are 6 choose 2.). There are 15 losing teams, and since each round is unique, there are 15 total rounds. 
</p><p>~Brackie1331
</p>",D
